IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.102,40958,35.164.85.72,443,TCP,8,896,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,37836,192.178.202.95,443,UDP,4,3968,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,58834,8.8.4.4,443,TCP,55,15207,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,58848,8.8.4.4,443,TCP,62,17297,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,58820,8.8.4.4,443,TCP,33,11866,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,48940,8.8.4.4,853,TCP,6,420,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,39673,8.8.4.4,443,UDP,52,28568,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
18.65.82.99,443,192.168.20.102,47167,UDP,38,30964,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.210.73,443,192.168.20.102,55826,UDP,188,159650,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.65.82.99,443,192.168.20.102,55554,TCP,25,9730,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.102,48942,8.8.4.4,853,TCP,6,420,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,59235,3.166.81.50,443,UDP,166,151322,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,37849,3.166.81.50,443,UDP,734,727771,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,37330,3.166.81.50,443,TCP,25,9731,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,37342,3.166.81.50,443,TCP,25,9635,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
108.139.210.73,443,192.168.20.102,34810,UDP,46,35773,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
185.15.58.224,443,192.168.20.102,53506,TCP,81,55142,N/A | N/A,N/A | N/A,N/A | N/A,US-WMF-20130110,IP Privato/Riservato
192.168.20.102,46953,8.8.4.4,443,UDP,51,28611,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,54662,35.164.85.72,443,TCP,85,26652,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,51698,52.41.101.31,443,TCP,90,29204,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
108.139.229.123,443,192.168.20.102,33344,UDP,635,778867,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,51555,8.8.4.4,443,UDP,89,36144,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.73,443,192.168.20.102,58525,UDP,183,116674,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.210.73,443,192.168.20.102,48182,TCP,25,9645,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
151.101.194.137,443,192.168.20.102,34502,TCP,54,11599,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
108.139.210.73,443,192.168.20.102,45917,UDP,46,35844,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.65.82.63,443,192.168.20.102,50371,UDP,75,64887,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.210.73,443,192.168.20.102,44976,TCP,25,9645,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.65.82.63,443,192.168.20.102,57096,UDP,27,25610,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.82.63,443,192.168.20.102,60358,TCP,72,22402,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.154.161.25,443,192.168.20.102,35442,TCP,365,188798,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
142.250.153.84,443,192.168.20.102,56936,UDP,31,24964,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.153.84,443,192.168.20.102,43056,TCP,35,13006,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,44510,8.8.4.4,443,UDP,220,61686,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.16,443,192.168.20.102,58998,UDP,127,95345,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.210.16,443,192.168.20.102,54162,TCP,17,4752,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.210.16,443,192.168.20.102,53648,UDP,31,29598,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.210.16,443,192.168.20.102,35558,TCP,142,31497,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.65.82.75,443,192.168.20.102,57194,UDP,31,30050,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
104.16.123.96,443,192.168.20.102,34240,TCP,467,297428,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.16.123.96,443,192.168.20.102,34256,TCP,61,35311,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.31.78,443,192.168.20.102,51058,TCP,31,12305,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.95.41,443,192.168.20.102,43400,TCP,703,615315,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.16.124.96,443,192.168.20.102,47334,TCP,38,13679,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.30.78,443,192.168.20.102,50165,UDP,21,13813,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.30.78,443,192.168.20.102,36274,TCP,29,9182,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,45354,8.8.4.4,853,TCP,20,3853,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
167.82.49.229,443,192.168.20.102,60238,TCP,147,121472,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
162.159.140.203,443,192.168.20.102,55660,TCP,134,119193,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,56218,84.17.59.115,443,TCP,138,121296,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,BUNNYCDN_MIL
104.16.174.226,443,192.168.20.102,46736,TCP,154,124156,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
163.171.241.15,443,192.168.20.102,55908,TCP,134,117813,N/A | N/A,N/A | N/A,N/A | N/A,CDNetworks,IP Privato/Riservato
