IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.102,56198,35.166.21.100,443,TCP,9,835,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,56218,35.166.21.100,443,TCP,9,835,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,56220,35.166.21.100,443,TCP,36,12542,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,56182,35.166.21.100,443,TCP,9,835,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,56214,35.166.21.100,443,TCP,9,835,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,56234,35.166.21.100,443,TCP,9,835,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,32946,8.8.4.4,853,TCP,13,2170,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
18.65.82.47,443,192.168.20.102,48146,UDP,44,33503,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.210.71,443,192.168.20.102,53670,UDP,227,153901,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,38484,8.8.8.8,443,TCP,36,12182,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,38498,8.8.8.8,443,TCP,34,11858,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,38506,8.8.8.8,443,TCP,50,14618,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,32824,8.8.8.8,443,UDP,119,41468,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
151.101.66.137,443,192.168.20.102,35510,TCP,34,9623,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
108.139.210.51,443,192.168.20.102,39497,UDP,41,31430,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
15.161.156.80,443,192.168.20.102,53146,TCP,48,24599,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.64.40,443,192.168.20.102,35248,TCP,30,11486,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
147.154.54.13,443,192.168.20.102,44666,TCP,26,10484,N/A | N/A,N/A | N/A,N/A | N/A,OC-260,IP Privato/Riservato
108.139.229.129,443,192.168.20.102,33262,TCP,34,11456,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,55270,96.45.36.159,443,TCP,32,14836,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,FORTINET
