IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.102,35362,8.8.4.4,853,TCP,28,9445,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,54720,35.95.197.3,443,TCP,61,21581,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,54726,35.95.197.3,443,TCP,24,6908,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,54734,35.95.197.3,443,TCP,24,6875,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,54740,35.95.197.3,443,TCP,24,6876,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,54742,35.95.197.3,443,TCP,24,6907,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,54750,35.95.197.3,443,TCP,24,6877,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,48826,8.8.4.4,443,TCP,54,14995,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,48846,8.8.4.4,443,TCP,65,17477,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,48840,8.8.4.4,443,TCP,34,11932,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,35150,8.8.4.4,443,UDP,73,32882,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
18.65.82.29,443,192.168.20.102,55738,TCP,36,11300,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.210.51,443,192.168.20.102,51434,TCP,93,21355,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,35665,8.8.4.4,443,UDP,29,24079,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
18.65.82.62,443,192.168.20.102,33424,TCP,43,19072,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.82.62,443,192.168.20.102,33434,TCP,21,9107,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.210.51,443,192.168.20.102,42815,UDP,183,131644,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,33010,3.166.81.24,443,TCP,152,132173,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,33018,3.166.81.24,443,TCP,734,653372,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,33445,3.166.81.24,443,UDP,497,520182,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
108.139.210.51,443,192.168.20.102,43548,UDP,60,41519,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.65.82.63,443,192.168.20.102,39276,TCP,258,195872,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.82.63,443,192.168.20.102,39292,TCP,124,43153,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.82.63,443,192.168.20.102,47360,UDP,33,30179,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
185.15.58.224,443,192.168.20.102,33948,TCP,284,246905,N/A | N/A,N/A | N/A,N/A | N/A,US-WMF-20130110,IP Privato/Riservato
185.15.58.224,443,192.168.20.102,58352,TCP,37,11280,N/A | N/A,N/A | N/A,N/A | N/A,US-WMF-20130110,IP Privato/Riservato
192.168.20.102,56469,8.8.4.4,443,UDP,51,21627,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,42894,52.25.160.34,443,TCP,100,33049,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,42904,52.25.160.34,443,TCP,23,6873,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,33722,44.239.200.53,443,TCP,94,29296,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
192.168.20.102,52443,3.166.81.63,443,UDP,49,39266,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,33271,8.8.4.4,443,UDP,100,43725,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.73,443,192.168.20.102,33504,UDP,266,187846,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.210.73,443,192.168.20.102,40200,UDP,27,25281,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.210.73,443,192.168.20.102,55396,TCP,177,39723,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.65.82.63,443,192.168.20.102,37525,UDP,35,30401,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.82.63,443,192.168.20.102,50382,UDP,31,30047,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.154.161.25,443,192.168.20.102,36682,TCP,370,227081,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.210.22,443,192.168.20.102,48438,TCP,453,401043,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.210.22,443,192.168.20.102,48454,TCP,818,872841,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
142.250.153.84,443,192.168.20.102,44069,UDP,45,28342,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.153.84,443,192.168.20.102,60606,TCP,134,112708,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,51332,8.8.4.4,853,TCP,32,10341,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,42895,8.8.4.4,443,UDP,32,21061,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.71,443,192.168.20.102,50238,UDP,158,118093,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
151.101.194.137,443,192.168.20.102,58688,TCP,44,10658,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
192.168.20.102,32990,8.8.4.4,443,TCP,42,11312,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,46676,8.8.4.4,443,UDP,176,53572,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
18.65.82.75,443,192.168.20.102,43962,UDP,31,30047,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.210.73,443,192.168.20.102,33515,UDP,35,33915,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.65.82.75,443,192.168.20.102,35741,UDP,33,32263,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
104.16.123.96,443,192.168.20.102,49899,UDP,21,13725,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.16.123.96,443,192.168.20.102,35748,TCP,791,518267,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.16.123.96,443,192.168.20.102,49370,UDP,23,14464,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.16.123.96,443,192.168.20.102,35756,TCP,379,401442,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.16.123.96,443,192.168.20.102,59679,UDP,19,12901,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.31.78,443,192.168.20.102,40824,UDP,21,13777,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.31.78,443,192.168.20.102,39422,TCP,29,11859,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.95.41,443,192.168.20.102,35339,UDP,21,13813,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.16.123.96,443,192.168.20.102,54894,UDP,17,12143,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.95.41,443,192.168.20.102,34724,TCP,810,711375,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.16.123.96,443,192.168.20.102,35766,TCP,23,8708,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.95.41,443,192.168.20.102,34761,UDP,23,14581,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
151.101.66.6,443,192.168.20.102,53326,TCP,145,121829,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
104.16.123.96,443,192.168.20.102,35782,TCP,120,59097,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.16.123.96,443,192.168.20.102,37271,UDP,19,12901,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.16.123.96,443,192.168.20.102,40446,UDP,19,12894,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.16.123.96,443,192.168.20.102,33716,UDP,23,14410,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
18.154.161.29,443,192.168.20.102,40834,TCP,121,121509,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.102,47916,95.100.171.27,443,TCP,137,118537,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI-PA
192.168.20.102,50334,35.190.26.57,443,UDP,24,14406,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.102,46840,35.190.26.57,443,TCP,140,121272,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
172.66.0.102,443,192.168.20.102,60946,UDP,174,131962,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
172.66.0.102,443,192.168.20.102,38720,TCP,19,7132,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.28.178,443,192.168.20.102,53662,TCP,136,119406,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.39.62,443,192.168.20.102,40250,UDP,23,14491,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.39.62,443,192.168.20.102,45854,TCP,136,119278,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.31.78,443,192.168.20.102,48336,UDP,22,14432,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.31.78,443,192.168.20.102,39434,TCP,40,14283,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,41926,8.8.4.4,443,UDP,170,59363,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.71,443,192.168.20.102,42376,UDP,160,142391,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.65.82.62,443,192.168.20.102,35369,UDP,29,27825,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.82.62,443,192.168.20.102,49518,UDP,33,32265,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.210.71,443,192.168.20.102,38094,UDP,31,29600,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,44854,3.166.81.23,443,TCP,221,174135,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
108.139.210.52,443,192.168.20.102,48696,TCP,182,155122,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,39950,216.58.209.46,443,UDP,32,25990,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,38438,216.58.209.46,443,TCP,88,52296,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
151.101.1.229,443,192.168.20.102,44004,TCP,34,12208,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
13.35.198.11,443,192.168.20.102,41788,TCP,46,18186,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
142.250.180.132,443,192.168.20.102,38260,UDP,32,26092,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.132,443,192.168.20.102,58040,TCP,49,15867,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,51398,192.178.204.94,443,TCP,424,404593,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.209.36,443,192.168.20.102,40466,UDP,44,31562,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.209.36,443,192.168.20.102,47406,TCP,146,119084,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.140.99,443,192.168.20.102,51626,TCP,445,450115,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.140.99,443,192.168.20.102,51642,TCP,19,8393,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.140.99,443,192.168.20.102,59234,UDP,27,22882,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,32819,216.58.204.131,443,UDP,74,61520,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,36898,8.8.4.4,443,UDP,100,44815,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.71,443,192.168.20.102,42939,UDP,260,228501,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,41176,8.8.4.4,853,TCP,19,3258,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,52210,192.178.202.95,443,UDP,45,32846,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,41813,3.166.81.24,443,UDP,31,29867,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,35998,3.166.81.24,443,TCP,37,13936,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
108.139.210.77,443,192.168.20.102,34564,TCP,53,19717,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.65.82.93,443,192.168.20.102,44264,UDP,31,30047,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.210.71,443,192.168.20.102,59154,UDP,31,29600,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
185.15.58.224,443,192.168.20.102,57218,TCP,133,107206,N/A | N/A,N/A | N/A,N/A | N/A,US-WMF-20130110,IP Privato/Riservato
192.168.20.102,43361,8.8.4.4,443,UDP,193,59928,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.16,443,192.168.20.102,58709,UDP,233,164938,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,44929,8.8.4.4,443,UDP,44,27394,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
18.65.82.93,443,192.168.20.102,48654,UDP,41,36757,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.82.63,443,192.168.20.102,46593,UDP,29,27830,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
