IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
142.250.180.170,443,192.168.20.102,45673,UDP,4,3939,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,46905,216.239.34.223,443,UDP,4,3971,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.170,443,192.168.20.102,58639,UDP,4,3980,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,38044,216.239.34.223,443,UDP,4,3974,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.132,443,192.168.20.102,46992,UDP,2,1384,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.132,443,192.168.20.102,39351,UDP,3,1486,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,48686,35.166.21.100,443,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,48674,35.166.21.100,443,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,48702,35.166.21.100,443,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,48716,35.166.21.100,443,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,48718,35.166.21.100,443,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,48722,35.166.21.100,443,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,48732,35.166.21.100,443,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,48742,35.166.21.100,443,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,48746,35.166.21.100,443,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,48752,35.166.21.100,443,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,48768,35.166.21.100,443,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,48778,35.166.21.100,443,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,48780,35.166.21.100,443,TCP,63,21735,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,48782,35.166.21.100,443,TCP,24,6876,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,48788,35.166.21.100,443,TCP,24,6813,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,48798,35.166.21.100,443,TCP,21,6622,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,48810,35.166.21.100,443,TCP,24,6909,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,48820,35.166.21.100,443,TCP,24,6843,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,44018,8.8.4.4,853,TCP,16,2368,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,37230,8.8.4.4,443,UDP,2,1278,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
18.65.82.97,443,192.168.20.102,33023,UDP,47,34709,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.210.51,443,192.168.20.102,54326,UDP,256,140896,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,37330,8.8.4.4,443,TCP,34,11900,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,37334,8.8.4.4,443,TCP,67,17580,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,37348,8.8.4.4,443,TCP,50,14874,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,37851,8.8.4.4,443,UDP,136,45032,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
151.101.2.137,443,192.168.20.102,38796,TCP,71,13732,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
192.168.20.102,41567,8.8.4.4,443,UDP,29,23985,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
18.65.82.63,443,192.168.20.102,44242,TCP,38,15862,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
142.251.143.219,443,192.168.20.102,33109,UDP,1,267,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,57766,8.8.4.4,853,TCP,6,420,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.16,443,192.168.20.102,36373,UDP,45,35684,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.65.82.62,443,192.168.20.102,54926,UDP,100,87399,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.82.62,443,192.168.20.102,42522,UDP,29,27828,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.82.62,443,192.168.20.102,42024,TCP,25,9744,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.82.62,443,192.168.20.102,42038,TCP,101,33339,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
15.161.156.80,443,192.168.20.102,34518,TCP,290,262861,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
15.161.156.80,443,192.168.20.102,34524,TCP,39,14994,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
15.161.156.80,443,192.168.20.102,34536,TCP,40,16825,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
15.161.156.80,443,192.168.20.102,34540,TCP,84,57478,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
15.161.156.80,443,192.168.20.102,34546,TCP,31,11116,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.64.71,443,192.168.20.102,51670,TCP,36,12444,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.102,46800,23.60.189.88,443,TCP,36,9835,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
147.154.54.13,443,192.168.20.102,43076,TCP,23,10270,N/A | N/A,N/A | N/A,N/A | N/A,OC-260,IP Privato/Riservato
192.168.20.102,38934,96.45.36.159,443,TCP,33,14953,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,FORTINET
18.65.64.71,443,192.168.20.102,51686,TCP,31,11602,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.229.32,443,192.168.20.102,55452,TCP,46,23805,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.229.32,443,192.168.20.102,55458,TCP,40,13026,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.154.161.47,443,192.168.20.102,47592,TCP,42,13884,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
147.154.54.13,443,192.168.20.102,43086,TCP,19,6569,N/A | N/A,N/A | N/A,N/A | N/A,OC-260,IP Privato/Riservato
192.168.20.102,52952,3.234.197.129,443,TCP,56,27671,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,37759,8.8.4.4,443,UDP,71,36930,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,56308,52.25.160.34,443,TCP,95,30624,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,56314,52.25.160.34,443,TCP,23,6874,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,51738,44.239.200.53,443,TCP,94,29492,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
108.139.229.120,443,192.168.20.102,37842,UDP,199,192667,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
142.251.209.42,443,192.168.20.102,55838,TCP,10,808,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,59703,8.8.4.4,443,UDP,35,29106,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,41366,8.8.4.4,853,TCP,20,3956,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.16,443,192.168.20.102,39263,UDP,231,170532,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,35568,8.8.4.4,443,UDP,50,25185,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
18.65.82.63,443,192.168.20.102,58095,UDP,39,35305,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.82.63,443,192.168.20.102,35153,UDP,80,71159,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.210.73,443,192.168.20.102,34791,UDP,45,35666,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
185.15.58.224,443,192.168.20.102,46266,TCP,192,149394,N/A | N/A,N/A | N/A,N/A | N/A,US-WMF-20130110,IP Privato/Riservato
192.168.20.102,47220,8.8.4.4,853,TCP,17,3114,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,38139,8.8.8.8,443,UDP,65,31616,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.71,443,192.168.20.102,44932,UDP,233,164808,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
142.250.181.74,443,192.168.20.102,51716,TCP,4,337,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
18.65.82.75,443,192.168.20.102,51912,UDP,31,30047,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.210.71,443,192.168.20.102,36280,UDP,43,33563,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
185.15.58.240,443,192.168.20.102,58578,TCP,40,12265,N/A | N/A,N/A | N/A,N/A | N/A,US-WMF-20130110,IP Privato/Riservato
192.168.20.102,48718,8.8.8.8,443,UDP,217,63813,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.16,443,192.168.20.102,44401,UDP,243,144660,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,37091,8.8.8.8,443,UDP,46,33383,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
