IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.102,40214,8.8.4.4,853,TCP,8,564,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,55824,216.58.204.238,80,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
172.217.218.84,443,192.168.20.102,58658,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
172.217.218.84,443,192.168.20.102,58666,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,33294,216.58.204.228,443,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,55840,216.58.204.238,80,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
172.217.218.84,443,192.168.20.102,46234,UDP,47,32952,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,50665,216.58.204.228,443,UDP,1016,941385,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
172.217.218.84,443,192.168.20.102,58670,TCP,21,9670,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,46207,192.178.204.95,443,UDP,38,30966,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,53240,192.178.204.95,443,TCP,37,12810,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.162,443,192.168.20.102,34432,UDP,43,25541,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.162,443,192.168.20.102,59302,TCP,21,9684,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
185.15.58.224,443,192.168.20.102,56996,TCP,22,7029,N/A | N/A,N/A | N/A,N/A | N/A,US-WMF-20130110,IP Privato/Riservato
192.168.20.102,59813,216.58.204.129,443,UDP,44,23938,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,58374,216.58.204.129,443,UDP,37,26040,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,58584,216.58.204.129,443,TCP,47,20384,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,55684,8.8.4.4,853,TCP,37,10798,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.251.209.42,443,192.168.20.102,47853,UDP,115,89728,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.209.42,443,192.168.20.102,57524,TCP,29,15716,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,54029,216.58.204.142,443,UDP,29,25306,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,51812,216.58.204.142,443,TCP,39,13990,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,35763,216.58.204.142,443,UDP,70,42781,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,51824,216.58.204.142,443,TCP,25,11848,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,33246,213.209.0.20,443,TCP,30,14271,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,IT-MATRIX-991115
192.168.20.102,39775,216.58.204.234,443,UDP,37,23046,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,40944,216.58.204.234,443,TCP,29,15796,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,42959,216.58.204.234,443,UDP,53,31150,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
