IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.102,49382,8.8.4.4,853,TCP,47,12822,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.251.209.36,443,192.168.20.102,49745,UDP,456,317398,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
173.194.69.84,443,192.168.20.102,49442,TCP,38,17178,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.209.36,443,192.168.20.102,60674,TCP,21,8656,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.138,443,192.168.20.102,47504,TCP,44,13366,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.138,443,192.168.20.102,39544,UDP,39,32233,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,49394,8.8.4.4,853,TCP,24,7996,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.251.209.34,443,192.168.20.102,39683,UDP,29,22193,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.209.34,443,192.168.20.102,42936,TCP,36,12249,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,52204,216.239.38.223,443,UDP,172,86565,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
185.15.58.224,443,192.168.20.102,43230,TCP,30,9288,N/A | N/A,N/A | N/A,N/A | N/A,US-WMF-20130110,IP Privato/Riservato
192.168.20.102,47505,216.239.38.223,443,UDP,41,32937,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,53400,216.58.204.129,443,UDP,47,27689,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
