IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.101,48146,8.8.4.4,853,TCP,32,10985,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,47608,52.25.160.34,443,TCP,24,6845,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,47610,52.25.160.34,443,TCP,64,20528,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,47612,52.25.160.34,443,TCP,24,6843,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,47614,52.25.160.34,443,TCP,16,5955,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,47616,52.25.160.34,443,TCP,16,5986,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,47618,52.25.160.34,443,TCP,22,6689,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
108.139.210.71,443,192.168.20.101,45482,UDP,117,92475,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.101,49168,8.8.8.8,443,TCP,55,16536,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,49170,8.8.8.8,443,TCP,61,17013,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,49172,8.8.8.8,443,TCP,32,11695,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,46373,8.8.8.8,443,UDP,109,38519,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
18.65.82.62,443,192.168.20.101,38381,UDP,97,82939,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.210.71,443,192.168.20.101,40874,UDP,47,35886,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.65.82.62,443,192.168.20.101,40320,TCP,25,9680,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.101,48349,192.178.203.95,443,UDP,44,34460,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
15.160.73.215,443,192.168.20.101,43472,TCP,47,23564,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.64.40,443,192.168.20.101,45498,TCP,41,12191,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.229.101,443,192.168.20.101,40304,TCP,31,11235,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
