IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.101,48348,8.8.4.4,853,TCP,19,4419,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,41518,35.95.197.3,443,TCP,62,20417,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,41520,35.95.197.3,443,TCP,16,6051,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,41522,35.95.197.3,443,TCP,22,6624,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,41524,35.95.197.3,443,TCP,18,6113,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,41526,35.95.197.3,443,TCP,16,5956,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,41528,35.95.197.3,443,TCP,17,6021,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,49844,8.8.4.4,443,TCP,52,14919,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,49846,8.8.4.4,443,TCP,35,11936,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,49848,8.8.4.4,443,TCP,47,14537,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,47798,8.8.4.4,443,UDP,40,26594,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.16,443,192.168.20.101,47802,UDP,194,131406,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.210.16,443,192.168.20.101,48967,UDP,47,35136,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
185.15.58.224,443,192.168.20.101,45728,TCP,197,151958,N/A | N/A,N/A | N/A,N/A | N/A,US-WMF-20130110,IP Privato/Riservato
192.168.20.101,49438,8.8.4.4,443,UDP,40,26368,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,42306,44.231.182.240,443,TCP,88,28600,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
192.168.20.101,47008,44.238.183.248,443,TCP,91,28938,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
192.168.20.101,45141,8.8.4.4,443,UDP,53,32888,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.16,443,192.168.20.101,46957,UDP,115,103453,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.101,50000,8.8.4.4,443,UDP,42,30731,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
