IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.101,47444,8.8.4.4,853,TCP,20,3944,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,38480,44.255.221.9,443,TCP,58,21377,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
192.168.20.101,38482,44.255.221.9,443,TCP,24,6843,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
192.168.20.101,38484,44.255.221.9,443,TCP,16,5987,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
192.168.20.101,38486,44.255.221.9,443,TCP,24,6812,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
192.168.20.101,38488,44.255.221.9,443,TCP,17,6084,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
192.168.20.101,38490,44.255.221.9,443,TCP,22,6719,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
192.168.20.101,48940,8.8.4.4,443,TCP,52,14829,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,48942,8.8.4.4,443,TCP,33,11795,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,48944,8.8.4.4,443,TCP,51,14745,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,46432,8.8.4.4,443,UDP,62,30718,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.73,443,192.168.20.101,37126,TCP,51,15644,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.101,38808,216.239.38.223,443,TCP,21,7501,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
108.139.210.73,443,192.168.20.101,43329,UDP,157,123124,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.101,40343,8.8.4.4,443,UDP,40,26310,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
18.65.82.93,443,192.168.20.101,41852,TCP,35,15676,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.101,48098,44.245.131.174,443,TCP,65,16733,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
192.168.20.101,48100,44.245.131.174,443,TCP,22,7827,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
192.168.20.101,38768,3.166.81.37,443,TCP,95,46321,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
18.65.82.93,443,192.168.20.101,41860,TCP,44,23860,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.82.93,443,192.168.20.101,41862,TCP,35,13288,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.101,37320,3.166.81.37,443,UDP,380,432315,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
108.139.210.73,443,192.168.20.101,44197,UDP,51,40202,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.65.82.93,443,192.168.20.101,43629,UDP,34,30259,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
185.15.58.224,443,192.168.20.101,44840,TCP,271,242972,N/A | N/A,N/A | N/A,N/A | N/A,US-WMF-20130110,IP Privato/Riservato
192.168.20.101,47051,8.8.4.4,443,UDP,87,46177,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,39646,54.71.30.2,443,TCP,34,12695,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZON-2011L
192.168.20.101,41420,44.231.182.240,443,TCP,103,35232,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
192.168.20.101,38736,216.239.38.223,443,TCP,8,624,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,46122,44.238.183.248,443,TCP,99,29684,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
192.168.20.101,48391,3.166.81.63,443,UDP,48,35928,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
