IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.101,47720,8.8.4.4,853,TCP,35,8014,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,40890,35.95.197.3,443,TCP,24,6875,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,40892,35.95.197.3,443,TCP,24,6844,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,40894,35.95.197.3,443,TCP,24,6845,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,40896,35.95.197.3,443,TCP,24,6843,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,40898,35.95.197.3,443,TCP,24,6812,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,40900,35.95.197.3,443,TCP,64,21794,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,44499,192.178.202.101,443,UDP,47,35732,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
108.139.210.71,443,192.168.20.101,38580,UDP,157,105014,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.101,49216,8.8.4.4,443,TCP,53,16471,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,49218,8.8.4.4,443,TCP,45,14330,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,48746,8.8.8.8,443,TCP,32,11695,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,40729,8.8.4.4,443,UDP,147,51343,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
151.101.66.137,443,192.168.20.101,40490,TCP,34,9631,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
192.168.20.101,40703,8.8.4.4,443,UDP,28,23040,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,39906,54.71.30.2,443,TCP,16,7125,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZON-2011L
192.168.20.101,39908,54.71.30.2,443,TCP,51,19645,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZON-2011L
192.168.20.101,40100,52.88.81.237,443,TCP,16,7160,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,40102,52.88.81.237,443,TCP,48,13015,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
18.65.82.62,443,192.168.20.101,47610,UDP,29,27830,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.82.62,443,192.168.20.101,43918,UDP,38,32503,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.210.16,443,192.168.20.101,46864,UDP,50,36178,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.65.82.62,443,192.168.20.101,39904,TCP,37,17176,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.82.62,443,192.168.20.101,39906,TCP,27,9918,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
15.161.156.80,443,192.168.20.101,40354,TCP,310,247851,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
15.161.156.80,443,192.168.20.101,40356,TCP,33,16241,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
15.161.156.80,443,192.168.20.101,40358,TCP,57,33636,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
15.161.156.80,443,192.168.20.101,40360,TCP,21,7236,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
15.161.156.80,443,192.168.20.101,40362,TCP,26,10641,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
15.161.156.80,443,192.168.20.101,40364,TCP,47,27384,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.64.40,443,192.168.20.101,45094,TCP,36,12471,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.101,47958,23.60.189.88,443,TCP,33,9550,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
147.154.54.13,443,192.168.20.101,47284,TCP,26,10485,N/A | N/A,N/A | N/A,N/A | N/A,OC-260,IP Privato/Riservato
18.65.64.40,443,192.168.20.101,45100,TCP,32,11576,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.101,40150,96.45.36.159,443,TCP,32,14835,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,FORTINET
108.139.229.101,443,192.168.20.101,39908,TCP,44,24077,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.229.101,443,192.168.20.101,39910,TCP,35,12692,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
147.154.54.13,443,192.168.20.101,47294,TCP,19,6569,N/A | N/A,N/A | N/A,N/A | N/A,OC-260,IP Privato/Riservato
