IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.101,45716,8.8.4.4,853,TCP,38,9640,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.250.180.132,443,192.168.20.101,45831,UDP,503,360252,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
173.194.69.84,443,192.168.20.101,49402,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
173.194.69.84,443,192.168.20.101,49404,TCP,55,23137,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.132,443,192.168.20.101,46180,TCP,39,13987,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,39820,99.84.41.25,443,TCP,25,9741,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
151.101.193.91,443,192.168.20.101,43619,UDP,25,16523,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
192.168.20.101,39822,99.84.41.25,443,TCP,23,9034,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
151.101.1.229,443,192.168.20.101,47706,TCP,25,9630,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
192.168.20.101,39196,213.209.0.20,443,TCP,28,14189,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,IT-MATRIX-991115
157.240.231.1,443,192.168.20.101,39527,UDP,45,23781,N/A | N/A,N/A | N/A,N/A | N/A,THEFA-3,IP Privato/Riservato
157.240.231.1,443,192.168.20.101,38630,TCP,27,8246,N/A | N/A,N/A | N/A,N/A | N/A,THEFA-3,IP Privato/Riservato
192.168.20.101,47216,8.8.4.4,443,TCP,53,15004,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,47218,8.8.4.4,443,TCP,32,11800,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,47220,8.8.4.4,443,TCP,57,16615,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,48945,8.8.4.4,443,UDP,44,26805,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.251.143.170,443,192.168.20.101,47630,TCP,61,37627,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,46044,192.178.202.94,443,TCP,111,62454,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,43147,192.178.202.94,443,UDP,112,91566,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,42863,8.8.4.4,443,UDP,166,50938,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.250.181.78,443,192.168.20.101,49250,UDP,50,34465,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.153.102,443,192.168.20.101,38693,UDP,36,26610,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.181.78,443,192.168.20.101,49386,TCP,25,12394,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.153.102,443,192.168.20.101,48872,TCP,25,12442,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.130,443,192.168.20.101,48817,UDP,29,22121,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,41772,216.239.34.157,443,TCP,127,84019,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,47232,8.8.4.4,443,TCP,33,11794,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,43643,192.178.203.97,443,UDP,28,17741,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.140.97,443,192.168.20.101,39252,UDP,28,20021,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.130,443,192.168.20.101,39670,TCP,45,13171,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,47304,192.178.203.97,443,TCP,40,12774,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.140.97,443,192.168.20.101,39374,TCP,43,19623,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,41782,216.239.34.157,443,TCP,112,72599,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,47242,8.8.4.4,443,TCP,32,11759,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,42451,216.58.204.129,443,UDP,50,28264,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,43481,216.58.204.129,443,UDP,36,22773,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,39072,216.58.204.129,443,TCP,33,18007,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,39074,216.58.204.129,443,TCP,33,18111,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,47248,8.8.4.4,443,TCP,32,11694,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,41792,216.239.34.157,443,TCP,74,41681,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
