IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
142.250.180.138,443,192.168.20.101,49246,TCP,46,7039,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,39480,216.239.32.223,443,UDP,4,3963,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,48291,216.239.38.223,443,UDP,4,918,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.138,443,192.168.20.101,49248,TCP,46,13692,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.140.106,443,192.168.20.101,47677,UDP,2,953,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,42149,216.58.209.36,443,UDP,1,267,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,49082,216.58.209.42,443,UDP,1,267,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.130,443,192.168.20.101,48169,UDP,1,267,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,42003,216.239.32.223,443,UDP,4,3975,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,38616,216.58.204.238,443,UDP,3,2025,N/A | N/A,N/A | N/A,N/A | clients2.google.com,IP Privato/Riservato,GOOGLE
192.168.20.101,39834,216.58.204.129,443,UDP,1,267,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,45739,216.58.204.129,443,UDP,1,267,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
108.177.96.92,443,192.168.20.101,47075,UDP,3,2714,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,41399,216.58.209.46,443,UDP,1,267,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,49259,216.58.209.46,443,UDP,1,267,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,43622,192.178.202.95,443,UDP,3,2732,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.140.106,443,192.168.20.101,43191,UDP,1,267,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
