IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.101,45068,8.8.4.4,853,TCP,58,15424,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
173.194.69.84,443,192.168.20.101,48754,TCP,38,16756,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.132,443,192.168.20.101,45530,TCP,70,29583,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,47302,192.178.202.95,443,UDP,46,34417,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.132,443,192.168.20.101,45777,UDP,79,38620,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,41098,216.239.34.157,443,TCP,110,53320,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,38805,216.58.204.234,443,UDP,47,32932,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.162,443,192.168.20.101,44819,UDP,29,22267,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.162,443,192.168.20.101,43816,TCP,31,11797,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,49100,216.58.204.234,443,TCP,23,10226,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,47307,192.178.202.100,443,UDP,44,37714,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,44148,216.239.38.223,443,UDP,60,40976,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,39598,216.58.204.129,443,UDP,30,22261,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,48166,216.58.204.129,443,UDP,35,22731,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,38390,216.58.204.129,443,TCP,45,20161,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,38392,216.58.204.129,443,TCP,33,18006,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,41108,216.239.34.157,443,TCP,124,58817,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,40039,216.239.38.223,443,UDP,41,32378,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,37417,192.178.202.102,443,UDP,42,26861,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,42250,192.178.202.102,443,TCP,31,12504,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,38554,213.209.0.20,443,TCP,27,14025,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,IT-MATRIX-991115
157.240.231.1,443,192.168.20.101,42586,UDP,45,25032,N/A | N/A,N/A | N/A,N/A | N/A,THEFA-3,IP Privato/Riservato
157.240.231.1,443,192.168.20.101,37988,TCP,26,8117,N/A | N/A,N/A | N/A,N/A | N/A,THEFA-3,IP Privato/Riservato
192.168.20.101,43699,192.178.202.102,443,UDP,63,36047,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.138,443,192.168.20.101,39670,UDP,28,21142,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.138,443,192.168.20.101,37386,TCP,43,18006,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.138,443,192.168.20.101,47600,UDP,38,25814,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,46102,8.8.8.8,443,TCP,32,11664,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,46104,8.8.8.8,443,TCP,47,14419,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,46106,8.8.8.8,443,TCP,47,14443,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,46108,8.8.8.8,443,TCP,31,11631,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,46110,8.8.8.8,443,TCP,34,11902,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,46088,8.8.8.8,443,UDP,474,116748,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,48284,216.58.204.138,443,TCP,29,15820,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,45319,8.8.8.8,443,UDP,41,25492,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,49128,216.58.204.234,443,TCP,79,47949,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,45410,192.178.202.94,443,TCP,144,79364,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,39908,192.178.202.94,443,UDP,37,29719,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,38021,216.58.204.132,443,UDP,377,292770,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,42994,216.58.209.33,443,UDP,28,20025,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,38376,216.58.209.33,443,TCP,91,31572,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,37633,216.58.209.34,443,UDP,38,25534,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,41136,216.239.34.157,443,TCP,107,68577,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,46122,8.8.8.8,443,TCP,32,11663,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,45946,192.178.203.97,443,UDP,42,19908,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,46666,192.178.203.97,443,TCP,23,10341,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,45248,216.58.204.129,443,UDP,41,22482,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,44997,216.58.204.129,443,UDP,35,18747,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,41142,216.239.34.157,443,TCP,36,11575,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,46128,8.8.8.8,443,TCP,33,11801,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,45510,192.178.202.95,443,UDP,115,92834,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,37394,192.178.202.95,443,TCP,41,17696,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,42568,3.166.81.118,443,TCP,85,59858,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,45126,8.8.4.4,853,TCP,21,3378,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.126,443,192.168.20.101,37598,TCP,186,159994,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
104.17.24.14,443,192.168.20.101,48509,UDP,17,12173,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
151.101.194.137,443,192.168.20.101,44796,TCP,23,8341,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
18.65.64.116,443,192.168.20.101,48012,TCP,29,11352,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
151.101.193.91,443,192.168.20.101,42998,UDP,28,18030,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
13.35.198.99,443,192.168.20.101,43630,TCP,115,87306,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
