IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.101,34838,8.8.4.4,853,TCP,54,13383,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,43814,216.239.34.223,443,TCP,25,7090,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
172.64.155.214,443,192.168.20.101,58648,TCP,29,11229,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,43180,212.6.50.243,123,UDP,1,90,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,FTTC-FTTH-Resource
192.168.20.101,60658,34.120.195.249,443,TCP,18,4199,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
172.64.155.214,443,192.168.20.101,58664,TCP,2212,711929,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
172.64.155.214,443,192.168.20.101,58672,TCP,15,5073,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
172.64.155.214,443,192.168.20.101,58688,TCP,16,4623,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
172.64.155.209,443,192.168.20.101,36888,TCP,125,88776,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
172.64.155.214,443,192.168.20.101,58692,TCP,16,4621,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
172.64.155.214,443,192.168.20.101,58702,TCP,16,4621,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
172.64.155.209,443,192.168.20.101,36900,TCP,24,9174,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,46034,216.58.205.46,443,UDP,77,44998,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,60670,34.120.195.249,443,TCP,17,4122,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
172.64.155.209,443,192.168.20.101,36912,TCP,27,11670,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,59404,3.165.255.3,443,TCP,27,7906,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
142.250.180.170,443,192.168.20.101,51624,TCP,59,32486,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
104.18.39.21,443,192.168.20.101,34094,TCP,496,45995,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,53388,89.46.74.148,123,UDP,2,180,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,ARUBA-NET
192.168.20.101,34834,8.8.4.4,853,TCP,8,564,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,54546,3.233.158.24,443,TCP,34,16511,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
104.18.36.169,443,192.168.20.101,34214,TCP,73,14666,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
172.232.208.229,123,192.168.20.101,59485,UDP,2,180,N/A | N/A,N/A | N/A,N/A | N/A,AKAMAI,IP Privato/Riservato
192.168.20.101,59534,216.58.205.42,443,TCP,9,730,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,52336,216.239.34.223,443,TCP,25,7410,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,44826,8.8.4.4,853,TCP,17,3114,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.250.180.138,443,192.168.20.101,45112,TCP,37,11558,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
172.64.155.214,443,192.168.20.101,60296,TCP,22,7937,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
172.64.155.214,443,192.168.20.101,58100,TCP,16,4543,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,50372,216.239.34.223,443,TCP,34,12185,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
172.64.155.214,443,192.168.20.101,60898,TCP,20,6216,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,46316,3.233.158.24,443,TCP,22,10310,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
172.64.155.214,443,192.168.20.101,41160,TCP,23,6441,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
142.251.143.106,443,192.168.20.101,59578,UDP,49,39497,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.143.106,443,192.168.20.101,53816,TCP,7,620,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.153.188,5228,192.168.20.101,43852,TCP,15,3698,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,56830,8.8.4.4,853,TCP,25,4298,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
172.64.144.52,443,192.168.20.101,52082,TCP,1811,2221872,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
172.64.155.214,443,192.168.20.101,36754,TCP,20,7454,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,51570,3.233.158.24,443,TCP,21,10240,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
172.64.155.214,443,192.168.20.101,33414,TCP,20,7283,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,44182,8.8.4.4,853,TCP,17,3114,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,42782,3.166.81.18,443,TCP,25,4543,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,55724,8.8.4.4,853,TCP,23,7641,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.251.143.106,443,192.168.20.101,48640,UDP,45,36342,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
172.64.155.214,443,192.168.20.101,56176,TCP,19,4930,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
172.64.155.214,443,192.168.20.101,33488,TCP,18,5139,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,39386,8.8.4.4,853,TCP,18,3180,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
104.18.32.42,443,192.168.20.101,44438,TCP,20,8736,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,38742,3.233.158.24,443,TCP,23,11760,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
104.18.32.42,443,192.168.20.101,43700,TCP,19,4610,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,53568,3.233.158.24,443,TCP,28,12753,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,49248,8.8.4.4,853,TCP,23,4166,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
