IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
142.251.209.54,443,192.168.20.101,48465,UDP,7,6591,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.143.195,443,192.168.20.101,54420,UDP,3,2057,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,43383,8.8.8.8,443,UDP,3,3726,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,47942,74.125.99.135,443,UDP,3,1081,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,49346,8.8.4.4,853,TCP,19,3854,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,50788,74.125.99.74,443,UDP,37,21321,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,45556,74.125.99.74,443,TCP,20,7839,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,57281,74.125.13.138,443,UDP,2,674,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,52914,74.125.99.138,443,UDP,1,267,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,57683,8.8.8.8,443,UDP,3,3726,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
173.194.10.9,443,192.168.20.101,34261,UDP,2,674,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
173.194.182.167,443,192.168.20.101,32884,UDP,37,21377,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
173.194.182.167,443,192.168.20.101,59668,TCP,20,7916,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,58075,8.8.8.8,443,UDP,3,3726,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
173.194.182.168,443,192.168.20.101,50344,UDP,97,70898,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
173.194.182.168,443,192.168.20.101,52436,TCP,20,7807,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.138,443,192.168.20.101,57390,TCP,3,198,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,44532,216.239.38.223,443,TCP,3,198,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,50676,74.125.13.138,443,TCP,3,198,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,36144,74.125.99.135,443,TCP,3,198,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
173.194.10.9,443,192.168.20.101,42608,TCP,3,198,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,47802,74.125.99.138,443,TCP,3,198,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,44556,216.239.38.223,443,TCP,3,198,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,41972,216.58.204.227,443,TCP,3,198,N/A | connectivitycheck.gstatic.com.,N/A | N/A,N/A | connectivitycheck.gstatic.com,IP Privato/Riservato,GOOGLE
192.168.20.101,37322,192.178.203.94,443,TCP,3,198,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.143.110,443,192.168.20.101,39808,TCP,3,198,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,33248,216.58.204.227,443,TCP,3,198,N/A | connectivitycheck.gstatic.com.,N/A | N/A,N/A | connectivitycheck.gstatic.com,IP Privato/Riservato,GOOGLE
192.168.20.101,60168,216.58.205.42,443,TCP,3,198,N/A | locationhistory-pa.googleapis.com.,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,52341,8.8.8.8,443,UDP,3,3726,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,48438,8.8.4.4,853,TCP,31,6626,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.251.143.106,443,192.168.20.101,37972,UDP,66,39417,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,49534,8.8.8.8,443,UDP,3,3726,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.251.209.42,443,192.168.20.101,41742,UDP,58,37377,firebaseinstallations.googleapis.com. | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,47504,216.58.204.227,443,TCP,25,8325,N/A | connectivitycheck.gstatic.com.,N/A | N/A,N/A | connectivitycheck.gstatic.com,IP Privato/Riservato,GOOGLE
192.168.20.101,47508,216.58.204.227,443,TCP,41,11682,N/A | connectivitycheck.gstatic.com.,N/A | N/A,N/A | connectivitycheck.gstatic.com,IP Privato/Riservato,GOOGLE
192.168.20.101,43010,34.120.195.249,443,TCP,21,7660,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
192.168.20.101,36815,8.8.8.8,443,UDP,3,3726,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
