IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.101,43682,8.8.4.4,853,TCP,6,420,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.250.180.138,443,192.168.20.101,54704,UDP,2,1509,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,49670,216.58.204.234,443,UDP,2,1509,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,43688,8.8.4.4,853,TCP,17,3722,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,47370,34.120.195.249,443,TCP,20,7651,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
192.168.20.101,34290,23.215.5.93,443,TCP,111,60031,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.101,34304,23.215.5.93,443,TCP,2727,2119268,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.101,55776,23.215.5.90,443,TCP,25,6931,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.101,34316,23.215.5.93,443,TCP,24,6866,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.101,34326,23.215.5.93,443,TCP,25,6932,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
185.151.204.15,443,192.168.20.101,49926,TCP,28,8798,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
192.168.20.101,34328,23.215.5.93,443,TCP,25,6932,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.101,48340,20.20.35.160,443,TCP,27,9752,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,MSFT
13.78.111.198,443,192.168.20.101,45438,TCP,284,215290,N/A | N/A,N/A | N/A,N/A | N/A,MSFT,IP Privato/Riservato
185.151.204.15,443,192.168.20.101,51772,TCP,36,12059,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
192.168.20.101,44872,4.152.45.255,443,TCP,6,458,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,MSFT
192.168.20.101,44820,20.86.88.94,443,TCP,1,54,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,MSFT
192.168.20.101,59870,8.8.4.4,853,TCP,17,3114,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
185.151.204.15,443,192.168.20.101,48106,TCP,36,10294,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
192.168.20.101,57602,23.215.5.93,443,TCP,1211,1378472,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
142.251.209.42,443,192.168.20.101,54516,TCP,7,474,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
185.151.204.15,443,192.168.20.101,42990,TCP,40,12493,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
192.168.20.101,55860,8.8.4.4,853,TCP,19,3258,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
185.151.204.15,443,192.168.20.101,35788,TCP,35,9766,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
192.168.20.101,58978,2.22.248.142,443,TCP,632,680523,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI-PA
142.250.153.188,5228,192.168.20.101,43852,TCP,3,254,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,45562,8.8.4.4,853,TCP,25,7785,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,35955,216.239.34.223,443,UDP,119,98710,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,57036,216.239.34.223,443,UDP,41,32474,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,51350,8.8.4.4,853,TCP,20,3324,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.251.209.42,443,192.168.20.101,35718,UDP,45,33851,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.209.42,443,192.168.20.101,36544,TCP,29,10767,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
185.151.204.15,443,192.168.20.101,39064,TCP,32,11761,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
192.168.20.101,40774,8.8.4.4,853,TCP,19,3258,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
185.151.204.15,443,192.168.20.101,50898,TCP,26,8968,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
