IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.101,49404,34.120.195.249,443,TCP,21,7704,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
192.168.20.101,57860,8.8.4.4,853,TCP,26,5652,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,45970,20.86.88.94,443,TCP,24,12242,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,MSFT
192.168.20.101,56178,23.215.5.90,443,TCP,24,6867,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.101,56184,23.215.5.90,443,TCP,113,66613,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.101,56196,23.215.5.90,443,TCP,25,6932,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.101,56206,23.215.5.90,443,TCP,25,6931,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.101,56220,23.215.5.90,443,TCP,25,6932,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.101,56232,23.215.5.90,443,TCP,271,37401,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.101,49406,34.120.195.249,443,TCP,18,4205,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
185.151.204.15,443,192.168.20.101,49020,TCP,28,8798,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
192.168.20.101,49408,34.120.195.249,443,TCP,18,4287,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
192.168.20.101,33900,20.20.35.96,443,TCP,28,9811,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,MSFT
192.168.20.101,55444,20.189.173.12,443,TCP,232,174933,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,MSFT
192.168.20.101,44988,4.152.45.255,443,TCP,29,11286,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,MSFT
185.151.204.15,443,192.168.20.101,33176,TCP,36,12055,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
142.250.153.188,5228,192.168.20.101,43852,TCP,3,250,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
185.151.204.15,443,192.168.20.101,53444,TCP,36,12021,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
192.168.20.101,56048,35.244.164.0,443,TCP,4,288,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.101,44838,8.8.4.4,853,TCP,17,3114,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,57950,23.215.5.93,443,TCP,969,124242,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
185.151.204.15,443,192.168.20.101,46334,TCP,36,12057,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
185.151.204.15,443,192.168.20.101,37678,TCP,40,12489,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
185.151.204.15,443,192.168.20.101,58050,TCP,40,12489,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
185.151.204.15,443,192.168.20.101,36086,TCP,31,11691,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
192.168.20.101,32882,8.8.4.4,853,TCP,17,7221,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,51523,216.58.204.234,443,UDP,41,29888,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
