IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
104.18.26.48,443,192.168.20.101,52734,TCP,36,8422,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.12.117,443,192.168.20.101,37274,UDP,16,9506,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.12.117,443,192.168.20.101,34358,TCP,54,14307,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
108.138.199.113,443,192.168.20.101,49506,TCP,86,28798,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.101,49734,35.201.112.186,443,TCP,38,12085,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.101,56318,8.8.4.4,853,TCP,16,3012,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.251.209.42,443,192.168.20.101,52843,UDP,4,3957,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,60426,34.120.195.249,443,TCP,106,51160,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
192.168.20.101,60436,34.120.195.249,443,TCP,17,5895,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
192.168.20.101,60442,34.120.195.249,443,TCP,16,5167,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
192.168.20.101,60274,35.201.112.186,443,UDP,25,10356,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
151.101.64.176,443,192.168.20.101,40120,TCP,36,18521,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
192.168.20.101,39298,52.24.97.213,443,TCP,47,19599,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,39314,52.24.97.213,443,TCP,19,5640,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,39316,52.24.97.213,443,TCP,19,5640,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,42190,3.166.81.61,443,TCP,11,2568,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,56872,34.120.195.249,443,UDP,20,9939,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
142.251.143.170,443,192.168.20.101,40839,UDP,3,2729,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.143.170,443,192.168.20.101,56627,UDP,3,2724,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,56302,8.8.4.4,853,TCP,7,486,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
104.18.26.48,443,192.168.20.101,52714,TCP,108,9907,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.26.48,443,192.168.20.101,52684,TCP,210,53185,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.26.48,443,192.168.20.101,52676,TCP,363,55643,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,39908,8.8.4.4,853,TCP,23,4798,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,44644,3.233.158.25,443,TCP,41,24615,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,38080,3.233.158.25,443,TCP,44,25109,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,38082,3.233.158.25,443,TCP,17,7669,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
18.66.195.84,443,192.168.20.101,47264,TCP,34,11484,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.101,48616,8.8.4.4,853,TCP,23,4166,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,52134,216.58.209.42,443,TCP,30,10739,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,59382,216.58.204.234,443,TCP,27,9836,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
104.18.26.48,443,192.168.20.101,59456,TCP,386,233952,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
108.138.199.113,443,192.168.20.101,53574,TCP,15,5267,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.101,43658,8.8.4.4,853,TCP,22,4100,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,36732,54.231.198.89,443,TCP,1393,1070260,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZON-2011L
192.168.20.101,55300,8.8.4.4,853,TCP,17,3114,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,35008,3.233.158.26,443,TCP,54,29067,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,35020,3.233.158.26,443,TCP,34,16932,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
