IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.101,58938,8.8.4.4,853,TCP,6,420,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,52369,216.239.34.36,443,UDP,2,591,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,53172,216.58.205.46,443,UDP,2,583,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
104.18.26.48,443,192.168.20.101,52562,TCP,17,5649,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.26.48,443,192.168.20.101,52572,TCP,17,5647,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,58196,8.8.4.4,853,TCP,36,9812,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
104.18.26.48,443,192.168.20.101,52550,TCP,350,57924,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
142.251.143.163,443,192.168.20.101,44238,TCP,45,19565,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
104.18.26.48,443,192.168.20.101,52576,TCP,570,148295,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.26.48,443,192.168.20.101,52592,TCP,198,28762,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.26.48,443,192.168.20.101,52608,TCP,15,4591,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
151.101.193.91,443,192.168.20.101,43754,TCP,282,224271,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
151.101.1.91,443,192.168.20.101,55430,TCP,19,5420,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
