IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
172.64.155.214,443,192.168.20.102,44938,TCP,15,5072,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
172.64.155.214,443,192.168.20.102,44940,TCP,15,5071,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,43260,8.8.4.4,853,TCP,41,9792,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
172.64.155.214,443,192.168.20.102,44942,TCP,1766,624115,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
172.64.155.214,443,192.168.20.102,44944,TCP,17,5198,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
172.64.155.214,443,192.168.20.102,44946,TCP,17,6595,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,41176,34.120.195.249,443,TCP,18,4208,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
172.64.155.209,443,192.168.20.102,38864,TCP,102,73831,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
142.251.143.110,443,192.168.20.102,41641,UDP,76,45435,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
172.64.155.209,443,192.168.20.102,38866,TCP,26,8877,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,45554,3.166.81.72,443,TCP,25,7775,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
172.64.155.209,443,192.168.20.102,38870,TCP,27,11939,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,41188,34.120.195.249,443,TCP,18,4186,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
104.18.39.21,443,192.168.20.102,49790,TCP,397,37684,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,38704,37.247.53.178,123,UDP,2,180,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,NEW-VM-INFRASTRUCTURE-3
192.168.20.102,42342,3.233.158.24,443,TCP,22,9601,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,39884,216.239.34.223,443,TCP,28,9320,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
172.64.155.214,443,192.168.20.102,44936,TCP,9,3334,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,39862,216.58.204.138,443,TCP,28,9234,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,45834,216.239.38.223,443,TCP,38,11963,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
172.64.155.214,443,192.168.20.102,45040,TCP,20,7725,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,43392,8.8.4.4,853,TCP,30,5260,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
104.18.43.204,443,192.168.20.102,40178,TCP,19213,21553902,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,38341,192.178.203.94,443,UDP,42,23273,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,41950,3.233.158.25,443,TCP,26,10345,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,39936,216.239.34.223,443,TCP,34,13257,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,43400,8.8.4.4,853,TCP,21,3378,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
172.64.155.214,443,192.168.20.102,45052,TCP,20,8228,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,41976,3.233.158.26,443,TCP,26,12290,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
172.64.155.214,443,192.168.20.102,45056,TCP,19,7267,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,43410,8.8.4.4,853,TCP,19,3234,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,47338,216.58.205.42,443,TCP,44,19944,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,43414,8.8.4.4,853,TCP,26,4984,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
172.64.155.214,443,192.168.20.102,45074,TCP,24,9023,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,42452,3.233.158.24,443,TCP,19,9044,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
172.64.155.214,443,192.168.20.102,45086,TCP,23,9491,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,43456,8.8.4.4,853,TCP,19,3234,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,43474,8.8.4.4,853,TCP,19,3234,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,42036,3.233.158.25,443,TCP,22,10942,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
172.64.155.214,443,192.168.20.102,45136,TCP,23,9809,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
172.64.155.214,443,192.168.20.102,45146,TCP,17,4506,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,43500,8.8.4.4,853,TCP,21,3378,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,47184,3.166.81.89,443,TCP,27,7907,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
172.217.218.188,5228,192.168.20.102,39334,TCP,3,254,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,43512,8.8.4.4,853,TCP,19,3234,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
172.64.155.214,443,192.168.20.102,45164,TCP,21,7601,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
172.64.155.214,443,192.168.20.102,45166,TCP,20,7927,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,42090,3.233.158.26,443,TCP,24,11081,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,43520,8.8.4.4,853,TCP,46,10812,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,40060,216.239.34.223,443,TCP,29,10830,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.143.202,443,192.168.20.102,37162,UDP,99,50114,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
172.64.155.214,443,192.168.20.102,45490,TCP,21,5743,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,43020,3.233.158.24,443,TCP,19,8495,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
172.64.155.214,443,192.168.20.102,45808,TCP,21,7409,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,44216,8.8.4.4,853,TCP,29,9580,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,44426,8.8.4.4,853,TCP,22,8472,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.250.180.170,443,192.168.20.102,41765,UDP,41,30751,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,44380,35.241.16.93,443,TCP,1,60,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.102,44384,35.241.16.93,443,TCP,1,60,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.102,44388,35.241.16.93,443,TCP,1,60,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.102,44374,35.241.16.93,443,TCP,1,60,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.102,43152,35.190.43.134,443,TCP,1,60,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.102,44378,35.241.16.93,443,TCP,1,60,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.102,44394,35.241.16.93,443,TCP,1,60,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.102,44382,35.241.16.93,443,TCP,1,60,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.102,44396,35.241.16.93,443,TCP,1,60,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.102,44376,35.241.16.93,443,TCP,1,60,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.102,44390,35.241.16.93,443,TCP,1,60,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.102,43172,35.190.43.134,443,TCP,1,60,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.102,44386,35.241.16.93,443,TCP,1,60,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.102,42332,34.120.195.249,443,TCP,22,7723,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
