IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.102,46863,216.239.38.223,443,UDP,3,2744,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
173.194.182.169,443,192.168.20.102,45153,UDP,3,1073,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,44620,74.125.111.106,443,UDP,3,1071,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
173.194.6.41,443,192.168.20.102,44468,UDP,3,1101,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,40812,74.125.111.102,443,UDP,3,1077,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.131,443,192.168.20.102,47614,TCP,51,10434,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,37066,216.239.38.223,443,UDP,95,26497,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,41558,8.8.4.4,853,TCP,64,15208,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,44521,74.125.99.135,443,UDP,27591,31859605,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,41423,216.58.204.138,443,UDP,3,2721,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,42990,74.125.99.135,443,TCP,22,7992,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,41837,216.58.204.234,443,UDP,7,724,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.143.202,443,192.168.20.102,46491,UDP,4,3925,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,47822,74.125.99.138,443,UDP,3,1089,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,39838,74.125.99.170,443,UDP,3,1087,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,45302,216.58.204.138,443,UDP,3,735,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,47817,216.239.38.223,443,UDP,3,2716,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,45323,74.125.99.166,443,UDP,3,1079,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
