IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.102,37269,216.239.32.36,443,UDP,5,1599,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.174,443,192.168.20.102,48500,UDP,4,1230,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.138,443,192.168.20.102,45122,UDP,2,1509,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
172.217.218.188,5228,192.168.20.102,39334,TCP,4,316,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,44578,34.120.195.249,443,TCP,18,4229,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
192.168.20.102,46698,8.8.4.4,853,TCP,21,4630,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,46356,23.215.5.90,443,TCP,112,56569,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.102,46358,23.215.5.90,443,TCP,2258,1678931,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.102,46360,23.215.5.90,443,TCP,25,6933,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.102,46362,23.215.5.90,443,TCP,25,6932,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.102,46364,23.215.5.90,443,TCP,26,6992,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
185.151.204.8,443,192.168.20.102,45340,TCP,29,9024,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
192.168.20.102,38944,20.20.35.96,443,TCP,27,9904,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,MSFT
192.168.20.102,46314,52.168.117.171,443,TCP,189,149044,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,MSFT
192.168.20.102,46746,8.8.4.4,853,TCP,22,4076,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,39978,20.86.88.94,443,TCP,1,54,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,MSFT
192.168.20.102,39390,4.152.45.255,443,TCP,6,458,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,MSFT
185.151.204.8,443,192.168.20.102,45474,TCP,33,12225,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
192.168.20.102,47064,8.8.4.4,853,TCP,22,4076,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,46724,23.215.5.90,443,TCP,1574,1884291,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
185.151.204.8,443,192.168.20.102,45694,TCP,27,9253,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
192.168.20.102,49764,216.58.204.234,443,TCP,5,342,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,47298,8.8.4.4,853,TCP,19,3234,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,47458,8.8.4.4,853,TCP,25,5552,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,47578,8.8.4.4,853,TCP,19,3234,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,47714,8.8.4.4,853,TCP,26,4984,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.251.143.202,443,192.168.20.102,45240,TCP,46,20472,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
185.151.204.8,443,192.168.20.102,46404,TCP,42,17403,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
192.168.20.102,48000,8.8.4.4,853,TCP,21,3378,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,48078,8.8.4.4,853,TCP,19,3234,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,45716,2.22.248.152,443,TCP,1112,1119451,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI-PA
185.151.204.8,443,192.168.20.102,46708,TCP,30,9524,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
192.168.20.102,48124,8.8.4.4,853,TCP,19,3234,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,46230,20.42.65.85,443,TCP,86,63037,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,MSFT
185.151.204.8,443,192.168.20.102,46754,TCP,32,12173,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
192.168.20.102,48138,8.8.4.4,853,TCP,38,4572,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,48148,8.8.4.4,853,TCP,25,3698,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
185.151.204.8,443,192.168.20.102,46776,TCP,26,9176,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
192.168.20.102,47864,2.22.248.172,443,TCP,1315,1193102,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI-PA
192.168.20.102,48158,8.8.4.4,853,TCP,19,3234,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,48180,8.8.4.4,853,TCP,19,3234,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,43376,216.58.209.42,443,TCP,23,9159,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,48184,8.8.4.4,853,TCP,18,3788,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
13.78.111.198,443,192.168.20.102,45768,TCP,29,15384,N/A | N/A,N/A | N/A,N/A | N/A,MSFT,IP Privato/Riservato
142.250.180.170,443,192.168.20.102,41730,UDP,44,30348,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
