IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.102,46532,8.8.4.4,853,TCP,6,420,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,44430,34.120.195.249,443,TCP,21,7694,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
192.168.20.102,46554,8.8.4.4,853,TCP,20,3944,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,43468,23.215.5.93,443,TCP,26,6992,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.102,43470,23.215.5.93,443,TCP,121,61539,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.102,43472,23.215.5.93,443,TCP,26,6992,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.102,43474,23.215.5.93,443,TCP,23,6697,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.102,43476,23.215.5.93,443,TCP,1249,158195,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.102,43478,23.215.5.93,443,TCP,24,6866,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
185.151.204.8,443,192.168.20.102,45196,TCP,29,9012,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
192.168.20.102,41290,20.20.35.160,443,TCP,27,9907,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,MSFT
104.208.16.91,443,192.168.20.102,38040,TCP,188,151965,N/A | N/A,N/A | N/A,N/A | N/A,MSFT,IP Privato/Riservato
185.151.204.8,443,192.168.20.102,45220,TCP,38,12563,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
192.168.20.102,47760,4.152.45.207,443,TCP,6,458,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,MSFT
192.168.20.102,39826,20.86.88.94,443,TCP,1,54,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,MSFT
192.168.20.102,49612,216.58.204.234,443,TCP,6,408,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
185.151.204.8,443,192.168.20.102,45230,TCP,34,12317,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
185.151.204.8,443,192.168.20.102,45240,TCP,32,12169,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
192.168.20.102,46624,8.8.4.4,853,TCP,21,3378,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,46636,8.8.4.4,853,TCP,19,3234,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.250.180.170,443,192.168.20.102,42700,TCP,48,20646,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
185.151.204.8,443,192.168.20.102,45266,TCP,35,12451,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
185.151.204.8,443,192.168.20.102,45276,TCP,35,12451,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
192.168.20.102,46660,8.8.4.4,853,TCP,21,3378,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
185.151.204.8,443,192.168.20.102,45296,TCP,32,12157,N/A | N/A,N/A | N/A,N/A | N/A,ADJUST-ANYCAST,IP Privato/Riservato
192.168.20.102,46680,8.8.4.4,853,TCP,13,2814,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.250.180.138,443,192.168.20.102,41219,UDP,36,25898,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
