IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
142.250.180.170,443,192.168.20.102,49523,UDP,610,187618,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,45994,8.8.4.4,853,TCP,17,3078,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,44298,216.58.204.234,443,UDP,49,27616,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.170,443,192.168.20.102,48691,UDP,2,1509,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,63115,8.8.8.8,53,UDP,2,194,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,15039,8.8.8.8,53,UDP,2,164,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.251.209.35,80,192.168.20.102,44518,TCP,12,1193,N/A | N/A,N/A | N/A,connectivitycheck.gstatic.com | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,38184,216.58.205.36,443,TCP,22,3340,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.209.35,80,192.168.20.102,44542,TCP,10,1049,N/A | N/A,N/A | N/A,connectivitycheck.gstatic.com | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,38208,216.58.205.36,443,TCP,18,3076,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,46090,8.8.4.4,853,TCP,35,6246,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.251.209.35,80,192.168.20.102,44560,TCP,10,1049,N/A | N/A,N/A | N/A,connectivitycheck.gstatic.com | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,38226,216.58.205.36,443,TCP,18,3076,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,38242,216.58.205.36,443,TCP,18,3076,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.209.35,80,192.168.20.102,44580,TCP,10,1049,N/A | N/A,N/A | N/A,connectivitycheck.gstatic.com | N/A,GOOGLE,IP Privato/Riservato
142.251.209.35,80,192.168.20.102,44590,TCP,10,1049,N/A | N/A,N/A | N/A,connectivitycheck.gstatic.com | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,38256,216.58.205.36,443,TCP,18,3076,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.209.35,80,192.168.20.102,44600,TCP,10,1049,N/A | N/A,N/A | N/A,connectivitycheck.gstatic.com | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,38266,216.58.205.36,443,TCP,18,3076,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,46140,8.8.4.4,853,TCP,21,4022,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,44757,216.58.204.138,443,UDP,44,32567,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,46142,8.8.4.4,853,TCP,20,3956,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,45455,216.58.205.33,443,UDP,963,1066126,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.170,443,192.168.20.102,42070,TCP,5,403,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,38282,216.58.205.36,443,TCP,18,3076,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
