IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
142.251.143.106,443,192.168.20.102,43245,UDP,4,3968,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,48448,8.8.4.4,853,TCP,84,20672,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
104.18.26.48,443,192.168.20.102,37152,TCP,15,4592,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.26.48,443,192.168.20.102,37154,TCP,16,4158,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.26.48,443,192.168.20.102,37156,TCP,15,4592,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.27.48,443,192.168.20.102,42220,TCP,392,63002,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
151.101.1.91,443,192.168.20.102,39834,TCP,256,222562,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
104.18.26.48,443,192.168.20.102,37162,TCP,363,170681,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.27.48,443,192.168.20.102,42226,TCP,138,23610,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
142.251.143.195,443,192.168.20.102,44126,TCP,35,15887,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
151.101.1.91,443,192.168.20.102,39842,TCP,17,5311,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
104.18.26.48,443,192.168.20.102,37170,TCP,161,40142,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.26.48,443,192.168.20.102,37172,TCP,15,4120,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.26.48,443,192.168.20.102,37174,TCP,15,4120,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
