IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
142.251.209.42,443,192.168.20.102,43430,TCP,23,9332,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
104.18.27.48,443,192.168.20.102,42036,TCP,132,12808,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,47299,216.239.32.36,443,UDP,36,20160,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
104.18.27.48,443,192.168.20.102,42050,TCP,2976,1928334,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.27.48,443,192.168.20.102,42042,TCP,141,58268,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,48280,8.8.4.4,853,TCP,40,8460,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
104.18.13.117,443,192.168.20.102,39952,TCP,432,375641,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
151.101.129.91,443,192.168.20.102,37448,TCP,40,8297,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
104.18.13.117,443,192.168.20.102,44760,UDP,20,12133,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
108.138.199.115,443,192.168.20.102,49202,TCP,88,26168,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
104.16.79.73,443,192.168.20.102,37914,TCP,32,13310,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
13.35.198.20,443,192.168.20.102,46146,TCP,30,9603,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.102,42766,35.201.112.186,443,TCP,144,118862,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.102,46200,34.120.195.249,443,TCP,46,11646,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
192.168.20.102,46614,34.120.195.249,443,UDP,71,51339,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
192.168.20.102,42226,35.201.112.186,443,UDP,22,10722,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.102,49290,44.252.161.44,443,TCP,47,19208,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
192.168.20.102,49292,44.252.161.44,443,TCP,13,4729,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
192.168.20.102,49294,44.252.161.44,443,TCP,18,5495,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
192.168.20.102,49296,44.252.161.44,443,TCP,20,5645,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
192.168.20.102,42780,3.165.255.71,443,TCP,15,4571,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
104.18.27.48,443,192.168.20.102,42028,TCP,381,102104,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.27.48,443,192.168.20.102,42026,TCP,379,57080,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
18.66.195.37,443,192.168.20.102,46458,TCP,36,11310,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.102,47372,3.233.158.24,443,TCP,21,10114,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,47374,3.233.158.24,443,TCP,21,10110,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,47376,3.233.158.24,443,TCP,22,10176,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,47378,3.233.158.24,443,TCP,15,5109,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
104.18.27.48,443,192.168.20.102,42126,TCP,2281,1717257,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
108.138.199.115,443,192.168.20.102,49188,TCP,51,20628,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,47583,216.239.32.36,443,UDP,45,28056,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,48364,8.8.4.4,853,TCP,20,3300,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,42412,216.239.32.36,443,UDP,39,25339,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,38348,216.58.204.234,443,TCP,8,516,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,43470,216.58.209.42,443,TCP,6,396,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,48368,8.8.4.4,853,TCP,23,4142,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,45185,52.214.22.34,443,UDP,6,7752,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,47298,52.214.22.34,443,TCP,34,8580,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
151.101.1.91,443,192.168.20.102,39644,TCP,87,56553,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
192.168.20.102,48384,8.8.4.4,853,TCP,23,4142,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,41732,216.239.32.36,443,UDP,35,20230,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,48394,8.8.4.4,853,TCP,19,3234,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,46968,3.233.158.26,443,TCP,19,9217,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,46970,3.233.158.26,443,TCP,22,11242,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,46972,3.233.158.26,443,TCP,18,5361,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,46974,3.233.158.26,443,TCP,22,10177,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
172.217.218.188,5228,192.168.20.102,39334,TCP,3,254,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,42270,216.239.38.223,443,UDP,105,82265,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,46313,216.239.38.223,443,UDP,41,30646,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,48404,8.8.4.4,853,TCP,28,8904,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.250.180.138,443,192.168.20.102,37479,UDP,48,34430,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.170,443,192.168.20.102,48173,UDP,53,36725,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,48408,8.8.4.4,853,TCP,26,8116,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.250.180.138,443,192.168.20.102,48340,TCP,45,20412,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,48412,8.8.4.4,853,TCP,21,3378,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,41380,54.76.163.116,443,TCP,33,9016,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZON-2011L
192.168.20.102,48416,8.8.4.4,853,TCP,27,5672,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.251.209.36,443,192.168.20.102,44298,TCP,42,10814,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.209.36,443,192.168.20.102,44300,TCP,19,6720,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.209.36,443,192.168.20.102,44302,TCP,14,5567,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,40344,216.58.209.36,443,TCP,15,5634,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.209.36,443,192.168.20.102,44306,TCP,23,7463,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,40348,216.58.209.36,443,TCP,26,8352,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,48430,8.8.4.4,853,TCP,29,5182,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.251.143.202,443,192.168.20.102,45930,TCP,73,43032,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,46996,3.233.158.25,443,TCP,19,8227,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,46998,3.233.158.25,443,TCP,26,10942,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,48446,8.8.4.4,853,TCP,19,7630,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.251.143.170,443,192.168.20.102,45860,UDP,43,33609,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
