frame.time_epoch      frame.protocols           dns.a                                                                                                                     dns.qry.name
1760343588.573760000  eth:ethertype:ip:udp:dns  35.186.234.31                                                                                                             beacons.gcp.gvt2.com
1760343611.660671000  eth:ethertype:ip:udp:dns  172.64.155.214,104.18.32.42                                                                                               android.chat.openai.com
1760343611.664716000  eth:ethertype:ip:udp:dns  3.166.81.61,3.166.81.89,3.166.81.18,3.166.81.72                                                                           api.revenuecat.com
1760343611.667676000  eth:ethertype:ip:udp:dns  172.64.155.209,104.18.32.47                                                                                               ab.chatgpt.com
1760343611.899613000  eth:ethertype:ip:udp:dns  216.58.205.42,142.251.209.42,142.250.180.170,142.250.180.138,216.58.204.234,216.58.204.138,216.58.209.42                  android.googleapis.com
1760343612.723129000  eth:ethertype:ip:udp:dns  173.194.182.137                                                                                                           rr4---sn-hpa7znsz.gvt1.com
1760343612.751169000  eth:ethertype:ip:udp:dns  74.125.99.70                                                                                                              rr1---sn-hpa7zn66.gvt1.com
1760343612.830054000  eth:ethertype:ip:udp:dns  74.125.99.41                                                                                                              rr4---sn-hpa7zn6z.gvt1.com
1760343612.972991000  eth:ethertype:ip:udp:dns  173.194.182.138                                                                                                           rr5---sn-hpa7znsz.gvt1.com
1760343614.512174000  eth:ethertype:ip:udp:dns  142.250.180.163                                                                                                           www.gstatic.com
1760343614.923960000  eth:ethertype:ip:udp:dns  142.251.209.42,142.250.180.138,142.250.180.170,216.58.204.138,216.58.209.42,216.58.204.234,216.58.205.42                  firebaseinstallations.googleapis.com
1760343615.483666000  eth:ethertype:ip:udp:dns  142.250.180.170,142.250.180.138,142.251.143.202,216.58.204.234,142.251.209.42,216.58.204.138,216.58.205.42                restrictedapps-pa.googleapis.com
1760343615.606600000  eth:ethertype:ip:udp:dns  216.58.204.238                                                                                                            app-measurement.com
1760343616.562103000  eth:ethertype:ip:udp:dns  34.128.128.0                                                                                                              prodregistryv2.org
1760343616.614071000  eth:ethertype:ip:udp:dns  34.128.128.0                                                                                                              prodregistryv2.org
1760343617.393666000  eth:ethertype:ip:udp:dns  172.232.209.103,95.110.254.234,89.46.74.148,162.159.200.123                                                               1.datadog.pool.ntp.org
1760343620.517030000  eth:ethertype:ip:udp:dns  216.58.209.46,216.58.205.46,216.58.204.142,142.251.209.46,142.250.180.142,142.250.180.174,216.58.204.238,142.251.143.174  android.clients.google.com
1760343621.607457000  eth:ethertype:ip:udp:dns  142.250.180.174                                                                                                           app-measurement.com
1760343631.660195000  eth:ethertype:ip:udp:dns  172.64.155.214,104.18.32.42                                                                                               android.chat.openai.com
1760343631.661191000  eth:ethertype:ip:udp:dns  172.64.155.214,104.18.32.42                                                                                               android.chat.openai.com
1760343631.661201000  eth:ethertype:ip:udp:dns  172.64.155.214,104.18.32.42                                                                                               android.chat.openai.com
1760343631.794125000  eth:ethertype:ip:udp:dns  172.64.155.209,104.18.32.47                                                                                               ab.chatgpt.com
1760343632.006015000  eth:ethertype:ip:udp:dns  172.64.155.214,104.18.32.42                                                                                               android.chat.openai.com
1760343636.555637000  eth:ethertype:ip:udp:dns  104.18.32.47,172.64.155.209                                                                                               ab.chatgpt.com
1760343636.621595000  eth:ethertype:ip:udp:dns  104.18.32.47,172.64.155.209                                                                                               ab.chatgpt.com
1760343638.744486000  eth:ethertype:ip:udp:dns  173.194.182.137                                                                                                           rr4---sn-hpa7znsz.gvt1.com
1760343638.755477000  eth:ethertype:ip:udp:dns  74.125.99.70                                                                                                              rr1---sn-hpa7zn66.gvt1.com
1760343638.805452000  eth:ethertype:ip:udp:dns  74.125.99.41                                                                                                              rr4---sn-hpa7zn6z.gvt1.com
1760343638.975362000  eth:ethertype:ip:udp:dns  173.194.182.138                                                                                                           rr5---sn-hpa7znsz.gvt1.com
1760343643.467014000  eth:ethertype:ip:udp:dns  74.125.13.135                                                                                                             rr2---sn-hpa7zn6s.gvt1.com
1760343643.494995000  eth:ethertype:ip:udp:dns  216.58.204.138,216.58.205.42,216.58.209.42,142.251.209.42,142.250.180.170,216.58.204.234,142.250.180.138                  androidplatformbackuprestore-pa.googleapis.com
1760343645.181113000  eth:ethertype:ip:udp:dns  142.250.180.174                                                                                                           android.apis.google.com
1760343645.984705000  eth:ethertype:ip:udp:dns  216.239.34.36,216.239.32.36                                                                                               region1.app-measurement.com
1760343646.235560000  eth:ethertype:ip:udp:dns  172.64.151.87,104.18.36.169                                                                                               realtime.chatgpt.com
1760343647.399951000  eth:ethertype:ip:udp:dns  216.58.204.138,142.250.180.170,216.58.204.234,216.58.205.42,216.58.209.42,142.251.209.42,142.250.180.138                  locationhistory-pa.googleapis.com
1760343647.640826000  eth:ethertype:ip:udp:dns  104.18.39.21,172.64.148.235                                                                                               ws.chatgpt.com
1760343647.716783000  eth:ethertype:ip:udp:dns  172.232.209.103,185.19.184.35,85.199.214.99,172.232.208.229                                                               2.datadog.pool.ntp.org
1760343650.590285000  eth:ethertype:ip:udp:dns  142.250.180.170,216.58.204.138,142.251.209.42,216.58.204.234,216.58.205.42,142.250.180.138                                playstoregatewayadapter-pa.googleapis.com
1760343651.173974000  eth:ethertype:ip:udp:dns  142.250.180.142                                                                                                           android.apis.google.com
1760343653.498907000  eth:ethertype:ip:udp:dns  216.239.32.36,216.239.34.36                                                                                               region1.app-measurement.com
1760343653.498913000  eth:ethertype:ip:udp:dns  216.58.205.42,216.58.204.234,142.251.209.42,142.250.180.170,142.250.180.138,216.58.209.42,216.58.204.138                  locationhistory-pa.googleapis.com
1760343653.498919000  eth:ethertype:ip:udp:dns  185.19.184.35,172.232.208.229,172.232.209.103,85.199.214.99                                                               2.datadog.pool.ntp.org
1760343653.498928000  eth:ethertype:ip:udp:dns  104.18.39.21,172.64.148.235                                                                                               ws.chatgpt.com
1760343661.908353000  eth:ethertype:ip:udp:dns  142.250.180.138,216.58.209.42,216.58.205.42,216.58.204.234,142.250.180.170,142.251.143.202,142.251.209.42,216.58.204.138  locationhistory-pa.googleapis.com
1760343666.915729000  eth:ethertype:ip:udp:dns  216.58.205.42,142.250.180.138,142.251.209.42,216.58.204.138,216.58.204.234,142.250.180.170                                locationhistory-pa.googleapis.com
1760343703.936354000  eth:ethertype:ip:udp:dns  142.251.209.36                                                                                                            www.google.com
1760343703.940340000  eth:ethertype:ip:udp:dns  216.58.204.227                                                                                                            connectivitycheck.gstatic.com
1760343704.008304000  eth:ethertype:ip:udp:dns  142.250.153.188                                                                                                           mtalk.google.com
1760343704.058278000  eth:ethertype:ip:udp:dns  42yI4k-dnsotls-ds.metric.gstatic.com                                                                                      
1760343704.071271000  eth:ethertype:ip:udp:dns  216.239.32.223,216.239.36.223,216.239.34.223,216.239.38.223                                                               play.googleapis.com
1760343704.090265000  eth:ethertype:ip:udp:dns  FAf3\\0001-dnsotls-ds.metric.gstatic.com                                                                                  
