================================================================================
UDP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.20.101:52667       <-> 216.58.205.33:443             2307 2.886 kB      346 33 kB        2653 2.919 kB     72,412509000       428,5036
216.58.204.138:443         <-> 192.168.20.101:47123           215 44 kB         257 104 kB        472 148 kB        0,000000000       500,0802
192.168.20.101:40249       <-> 142.250.180.170:443             37 27 kB          23 12 kB          60 40 kB        67,540762000       200,4130
192.168.20.101:45504       <-> 142.250.180.138:443             31 25 kB          19 12 kB          50 38 kB       210,186079000        23,0838
192.168.20.101:48027       <-> 142.251.143.106:443             27 22 kB          18 12 kB          45 34 kB       611,511135000         4,2796
192.168.20.101:57054       <-> 142.250.180.164:443             23 21 kB          13 6.083 bytes      36 27 kB        67,650382000       201,4028
192.168.20.101:34351       <-> 216.58.205.42:443               24 23 kB          10 8.196 bytes      34 31 kB        67,518509000        23,0821
216.58.204.234:443         <-> 192.168.20.101:40782             0 0 bytes         3 743 bytes       3 743 bytes     3,246304000        15,5728
142.250.180.170:443        <-> 192.168.20.101:55193             0 0 bytes         2 1.509 bytes       2 1.509 bytes     6,109793000         7,4421
================================================================================
